Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.24601484835147858,0.04883842170238495,0.2734355032444,0.0694379210472107,0.43584972620010376,0.02179247885942459,0.21321402490139008,0.0,0.0,0.0,0.7296977639198303,0.03648488223552704
1,0.12980243563652039,0.10357441753149033,0.5501149892807007,0.057492904365062714,0.31747275590896606,0.015873635187745094,0.20117402076721191,0.00031467017834074795,0.22727270424365997,0.0001574442139826715,0.7208936214447021,0.03604467958211899
2,0.1192360445857048,0.1608593612909317,0.5925657153129578,0.09322646260261536,0.28957825899124146,0.014478909783065319,0.16951553523540497,0.0004981803940609097,0.3181817829608917,0.0002493012580089271,0.5742290019989014,0.02871144935488701
3,0.11336793005466461,0.19692575931549072,0.6333035826683044,0.11673041433095932,0.2735021114349365,0.01367510762065649,0.15014268457889557,0.0031933241989463568,0.5454545617103577,0.0016071294667199254,0.5113258957862854,0.02556629851460457
4,0.10950526595115662,0.22339165210723877,0.6524485945701599,0.13494892418384552,0.26408472657203674,0.013204233720898628,0.146230548620224,0.019686512649059296,0.9288099408149719,0.009977802634239197,0.5199710130691528,0.0259985513985157
5,0.10636438429355621,0.24882492423057556,0.6753376722335815,0.15270590782165527,0.2567441761493683,0.012837206944823265,0.13320153951644897,0.045206163078546524,0.931567907333374,0.0232489425688982,0.42851904034614563,0.021425951272249222
6,0.10364048928022385,0.2709190249443054,0.6884994506835938,0.16880111396312714,0.24939292669296265,0.012469646520912647,0.12625561654567719,0.11532428860664368,0.8570701479911804,0.061988577246665955,0.423651784658432,0.0211825892329216
7,0.10101806372404099,0.292716383934021,0.7040427923202515,0.18491031229496002,0.24426859617233276,0.012213422916829586,0.11335542052984238,0.14713416993618011,0.8437111377716064,0.08070524781942368,0.3324880599975586,0.01662440411746502
8,0.09896443039178848,0.30874350666999817,0.7056574821472168,0.19773751497268677,0.23996903002262115,0.011998447589576244,0.10929513722658157,0.19417671859264374,0.8482599258422852,0.1098189428448677,0.31734827160835266,0.015867413952946663
9,0.09654899686574936,0.32793059945106506,0.7140276432037354,0.21309860050678253,0.23417797684669495,0.011708899401128292,0.10155996680259705,0.28811711072921753,0.7979118824005127,0.17596589028835297,0.24895796179771423,0.012447896413505077
10,0.09456148743629456,0.34556683897972107,0.7212052941322327,0.22737273573875427,0.23031286895275116,0.011515646241605282,0.09668934345245361,0.3151649534702301,0.8163434863090515,0.1954769641160965,0.23873719573020935,0.011936859227716923
11,0.09257588535547256,0.3614831268787384,0.7282003164291382,0.24058285355567932,0.22789736092090607,0.011394872330129147,0.09569685906171799,0.3870294690132141,0.7295849323272705,0.2635481357574463,0.24978536367416382,0.012489265762269497
12,0.09089174121618271,0.3778432011604309,0.7298769950866699,0.255120187997818,0.2238440364599228,0.0111922025680542,0.09149542450904846,0.35789841413497925,0.8029909133911133,0.230444997549057,0.21381741762161255,0.010690868832170963
13,0.08914261311292648,0.39365893602371216,0.7353277802467346,0.2690044343471527,0.22020669281482697,0.011010334827005863,0.0898899957537651,0.4233873188495636,0.751206636428833,0.29489827156066895,0.21939635276794434,0.010969819501042366
14,0.08740532398223877,0.40894395112991333,0.7349583506584167,0.2834239900112152,0.2169760912656784,0.010848806239664555,0.08753591775894165,0.4268287420272827,0.762224018573761,0.29656335711479187,0.20391005277633667,0.010195503942668438
15,0.08601564168930054,0.42061978578567505,0.7381545305252075,0.2942996919155121,0.21495357155799866,0.010747675783932209,0.08811815083026886,0.4574534296989441,0.7310701012611389,0.3329929709434509,0.21117143332958221,0.010558572597801685
16,0.08455190807580948,0.4328939914703369,0.7402026653289795,0.3060489892959595,0.21356868743896484,0.010678436607122421,0.08736999332904816,0.457877516746521,0.7470903992652893,0.33023425936698914,0.2102845311164856,0.010514226742088795
17,0.08288484066724777,0.4475373327732086,0.7437278032302856,0.32030048966407776,0.20937101542949677,0.01046854816377163,0.08546096086502075,0.46803349256515503,0.7580177187919617,0.3386823832988739,0.19760823249816895,0.009880410507321358
18,0.08137133717536926,0.4623144865036011,0.7476029396057129,0.33481281995773315,0.20828773081302643,0.010414387099444866,0.08384104073047638,0.48563554883003235,0.7431626915931702,0.36079275608062744,0.1986341029405594,0.009931704960763454
19,0.08003585785627365,0.47603797912597656,0.7497977614402771,0.34885361790657043,0.20682016015052795,0.010341010056436062,0.08344670385122299,0.4873965084552765,0.7546702027320862,0.36004728078842163,0.1940019130706787,0.009700095281004906
20,0.07869230955839157,0.4860594868659973,0.754056990146637,0.3587827980518341,0.20492702722549438,0.010246345773339272,0.08411228656768799,0.5013924241065979,0.7272143959999084,0.3827640414237976,0.1963774710893631,0.009818874299526215
21,0.07734006643295288,0.49898192286491394,0.7531286478042603,0.3732585906982422,0.2012540102005005,0.01006269920617342,0.08198991417884827,0.5098504424095154,0.7480039000511169,0.38689181208610535,0.18984831869602203,0.009492415934801102
22,0.07612546533346176,0.5102876424789429,0.7567710876464844,0.3851732909679413,0.20123766362667084,0.010061882436275482,0.08064638078212738,0.5126580595970154,0.7676645517349243,0.38507434725761414,0.19156965613365173,0.009578482247889042
23,0.07510245591402054,0.5185917019844055,0.7594350576400757,0.3939514458179474,0.19895589351654053,0.009947795420885086,0.08040111511945724,0.532501757144928,0.7434768676757812,0.41495609283447266,0.18640531599521637,0.009320265613496304
24,0.07366350293159485,0.5283680558204651,0.7600846886634827,0.40507668256759644,0.19575852155685425,0.009787924587726593,0.07983489334583282,0.5354225635528564,0.7482069134712219,0.4170908033847809,0.18623128533363342,0.009311565198004246
