Epoch,Batch,lstm_1,lstm_2,dense_1,dense_2
1,1,-0.11031646281480789,-0.10736575722694397,-0.09150567650794983,-0.1315346211194992
1,2,-0.11254819482564926,-0.10425011813640594,-0.09464054554700851,-0.13466259837150574
1,3,-0.1121010035276413,-0.10642210394144058,-0.09761497378349304,-0.13769963383674622
1,4,-0.11207539588212967,-0.1061948910355568,-0.10005935281515121,-0.14026112854480743
1,5,-0.1120208352804184,-0.10626252740621567,-0.10110042244195938,-0.1421683430671692
1,6,-0.11223261058330536,-0.10637116432189941,-0.10257959365844727,-0.14269618690013885
1,7,-0.11201941221952438,-0.10631909221410751,-0.10361341387033463,-0.14333069324493408
1,8,-0.11203674972057343,-0.10641854256391525,-0.10373775660991669,-0.1441611498594284
1,9,-0.11188247799873352,-0.10640086233615875,-0.10459353774785995,-0.14523307979106903
1,10,-0.11185730993747711,-0.10644304007291794,-0.10460535436868668,-0.14599217474460602
1,11,-0.11150448024272919,-0.10643155127763748,-0.10528261214494705,-0.14708301424980164
1,12,-0.11145532131195068,-0.106483593583107,-0.1057494506239891,-0.14834405481815338
1,13,-0.11123644560575485,-0.10645339637994766,-0.10632548481225967,-0.14925161004066467
1,14,-0.11110721528530121,-0.10648559778928757,-0.10520854592323303,-0.1507139503955841
1,15,-0.11069189757108688,-0.10647018998861313,-0.10596282035112381,-0.15211693942546844
1,16,-0.1103871539235115,-0.10647585988044739,-0.10592485964298248,-0.15291376411914825
1,17,-0.1096203625202179,-0.10649653524160385,-0.10696074366569519,-0.15401680767536163
1,18,-0.10959947854280472,-0.10651183873414993,-0.10810671001672745,-0.15535759925842285
1,19,-0.10942619293928146,-0.10652255266904831,-0.10820677876472473,-0.15607763826847076
1,20,-0.10863147675991058,-0.10651849210262299,-0.10820884257555008,-0.15721407532691956
1,21,-0.10804671049118042,-0.10648197680711746,-0.10858875513076782,-0.157928466796875
1,22,-0.10660185664892197,-0.10653676837682724,-0.10773168504238129,-0.1588476449251175
1,23,-0.10614113509654999,-0.10651468485593796,-0.10844189673662186,-0.15955770015716553
1,24,-0.10705552995204926,-0.10659800469875336,-0.10810134559869766,-0.16092625260353088
1,25,-0.10658054798841476,-0.10659555345773697,-0.10856804996728897,-0.1613418608903885
1,26,-0.10556604713201523,-0.10659445077180862,-0.10870467871427536,-0.16218997538089752
1,27,-0.10461601614952087,-0.10658009350299835,-0.10824494063854218,-0.16300992667675018
1,28,-0.1040538102388382,-0.1065739318728447,-0.10833989083766937,-0.16344353556632996
1,29,-0.10503188520669937,-0.1065407246351242,-0.10755407065153122,-0.16393865644931793
1,30,-0.10490283370018005,-0.10649920254945755,-0.10856476426124573,-0.1651124507188797
1,31,-0.10445914417505264,-0.10642491281032562,-0.10800406336784363,-0.16553914546966553
1,32,-0.10431507229804993,-0.10630890727043152,-0.10775331407785416,-0.16627265512943268
1,33,-0.10388658195734024,-0.10636904835700989,-0.10807521641254425,-0.16655582189559937
1,34,-0.10659865289926529,-0.10633482038974762,-0.10890432447195053,-0.16743803024291992
1,35,-0.1059059202671051,-0.10626299679279327,-0.10754810273647308,-0.16804715991020203
1,36,-0.10640024393796921,-0.1062830239534378,-0.10815276205539703,-0.16910861432552338
1,37,-0.10589063167572021,-0.10674633085727692,-0.10878181457519531,-0.16949498653411865
1,38,-0.10553246736526489,-0.1067931056022644,-0.10912521183490753,-0.16998761892318726
1,39,-0.10506216436624527,-0.10669280588626862,-0.10897892713546753,-0.17053383588790894
1,40,-0.10492050647735596,-0.10654110461473465,-0.11034645140171051,-0.17142373323440552
1,41,-0.1043209508061409,-0.10646381974220276,-0.10914656519889832,-0.17182017862796783
1,42,-0.10355575382709503,-0.10648250579833984,-0.10924836248159409,-0.17212937772274017
1,43,-0.10494086146354675,-0.10668474435806274,-0.10945983231067657,-0.1727598011493683
1,44,-0.10455653816461563,-0.10660697519779205,-0.11019696295261383,-0.17367857694625854
1,45,-0.10426507890224457,-0.10692047327756882,-0.10950343310832977,-0.17339646816253662
1,46,-0.1040596067905426,-0.1069023534655571,-0.10997400432825089,-0.17419031262397766
1,47,-0.10399559140205383,-0.10681520402431488,-0.10993584990501404,-0.17429086565971375
1,48,-0.10377299040555954,-0.10666525363922119,-0.11049039661884308,-0.17498548328876495
2,49,-0.10379984229803085,-0.10669223964214325,-0.11092102527618408,-0.1756887435913086
2,50,-0.10500575602054596,-0.10653845965862274,-0.1119677871465683,-0.17447136342525482
2,51,-0.10369446128606796,-0.10637211054563522,-0.11222381889820099,-0.17625059187412262
2,52,-0.10324748605489731,-0.10653301328420639,-0.11256155371665955,-0.17545804381370544
2,53,-0.10308121144771576,-0.10593680292367935,-0.11263690888881683,-0.1759699285030365
2,54,-0.10374552756547928,-0.10472610592842102,-0.11334871500730515,-0.17650063335895538
2,55,-0.10364552587270737,-0.1048809364438057,-0.11089334636926651,-0.1768871396780014
2,56,-0.10370594263076782,-0.10686806589365005,-0.1115146279335022,-0.17773769795894623
2,57,-0.10359527915716171,-0.10607344657182693,-0.1109406128525734,-0.17822840809822083
2,58,-0.10372834652662277,-0.10722532123327255,-0.11100630462169647,-0.17933286726474762
2,59,-0.10370492935180664,-0.10714495182037354,-0.11091382056474686,-0.17928674817085266
2,60,-0.10384750366210938,-0.10679745674133301,-0.11139697581529617,-0.18022538721561432
2,61,-0.10446805506944656,-0.10653089731931686,-0.11204586178064346,-0.18142862617969513
2,62,-0.10425475984811783,-0.10655208677053452,-0.11235327273607254,-0.18202170729637146
2,63,-0.10403149574995041,-0.10633598268032074,-0.11372915655374527,-0.18209317326545715
2,64,-0.10501191765069962,-0.10683897882699966,-0.11314206570386887,-0.18294718861579895
2,65,-0.10483326017856598,-0.10778195410966873,-0.11315362900495529,-0.18404307961463928
2,66,-0.10513035207986832,-0.10787349194288254,-0.11340823769569397,-0.18455052375793457
2,67,-0.10530228167772293,-0.10740731656551361,-0.11413713544607162,-0.18539191782474518
2,68,-0.10475029051303864,-0.10792823135852814,-0.11435745656490326,-0.18710508942604065
2,69,-0.10455622524023056,-0.10742667317390442,-0.11473485827445984,-0.1873127818107605
2,70,-0.10481202602386475,-0.10692209750413895,-0.11634942144155502,-0.1876354068517685
