Epoch,Batch,lstm_1,lstm_2,dense_1,dense_2
1,1,0.0003831413632724434,8.489795618515927e-06,-1.2344793503871188e-05,0.0029975352808833122
1,2,-0.0001855715090641752,-1.1424435797380283e-05,-0.00016753441013861448,0.002562431152909994
1,3,0.0001857747556641698,-3.242898310418241e-05,-0.0002491968625690788,0.002316419966518879
1,4,-0.00011441160313552245,-3.0876362870913e-05,-0.00035191309871152043,0.002069324254989624
1,5,-3.5399101761868224e-05,-2.6084113414981402e-05,-0.0002510327904019505,0.001993059180676937
1,6,-0.00025363019085489213,-3.395519524929114e-05,-0.00042134648538194597,0.0019188025034964085
1,7,8.149164932547137e-05,-1.9371755115571432e-05,-0.0002159301220672205,0.0015990709653124213
1,8,1.4851834748697001e-05,-1.1710914805007633e-05,-4.346034984337166e-05,0.0006741420365869999
1,9,-0.0003558627504389733,-1.7426989870727994e-05,-0.00018822132551576942,0.001358655048534274
1,10,0.0005655527929775417,-4.4269076170166954e-05,-0.00010876895248657092,0.0007780860178172588
1,11,9.719252557260916e-05,-1.871318818302825e-05,-0.00014979280240368098,0.0011368514969944954
1,12,8.964655535237398e-06,-9.59595217864262e-06,-3.754085264517926e-05,0.0004070092109031975
1,13,0.00012350099859759212,-6.980414036661386e-05,-0.00039373093750327826,0.001435830956324935
1,14,0.00011060352699132636,-2.08734654734144e-05,-0.00014107831520959735,0.0010636381339281797
1,15,5.242654515313916e-05,-1.2091138160030823e-05,-3.854492024402134e-05,0.0003229245194233954
1,16,9.461775334784761e-05,-1.6360298104700632e-05,-0.00010307266347808763,0.0008351709693670273
1,17,-2.056867378996685e-05,-3.8825914998597e-06,-1.973207326955162e-05,0.00015447832993231714
1,18,1.4739220205228776e-05,-9.094952474697493e-06,-4.430592161952518e-05,0.0002832472964655608
1,19,1.1180128240084741e-05,-1.4618203749705572e-05,-8.255201828433201e-05,0.0005676245782524347
1,20,-6.824167212471366e-05,-1.0645424481481314e-05,-7.397963781841099e-05,0.0006283562979660928
1,21,3.5790770198218524e-05,-2.1207722966209985e-05,-0.00013804055924993008,0.0005323122022673488
1,22,0.00010004205978475511,-2.2155021724756807e-05,-0.00011359822383383289,0.0004499104688875377
1,23,-2.4948507416411303e-05,-4.9320110520056915e-06,-3.121864938293584e-05,0.00010155145719181746
1,24,-8.316740422742441e-05,-7.558647212135838e-06,-0.00011931823974009603,0.0003962876508012414
1,25,-6.979753379710019e-05,-3.92435913454392e-06,-3.1469633540837094e-05,7.761011511320248e-05
1,26,-0.0003719674132298678,2.648763938850607e-06,-8.155403338605538e-05,0.0006011895602568984
1,27,-2.6509100280236453e-05,-1.1408866384954308e-06,-3.1711867904959945e-06,-3.299098170828074e-05
1,28,-2.657338154676836e-05,-2.506771352273063e-06,-1.525629068055423e-05,-1.3750925063504837e-05
1,29,-8.785086538409814e-05,-1.2190310371806845e-05,-5.6594402849441394e-05,0.00035745164495892823
1,30,-9.344820136902854e-05,-5.484411303768866e-06,-9.431171929463744e-05,0.0002790325088426471
1,31,9.095439600059763e-05,-1.543640610179864e-05,-5.827381392009556e-05,0.0004946253029629588
1,32,-1.2581786904775072e-05,-1.0458094948262442e-05,-7.172177720349282e-05,0.0002654214622452855
1,33,-0.00029500373057089746,-1.970586936295149e-06,-1.427088773198193e-05,-1.3062563084531575e-05
1,34,0.00035749972448684275,-3.083803676418029e-05,-9.28269510040991e-05,0.0004921928630210459
1,35,-0.0001988327712751925,-9.759715794643853e-06,-6.356753874570131e-05,0.00023138444521464407
1,36,-0.00023114013310987502,1.8174526985603734e-06,-4.51301548309857e-06,-7.570614980068058e-05
1,37,-2.6892916139331646e-05,-1.3171634236641694e-05,-7.028073741821572e-05,0.00024043605662882328
1,38,0.00020536930242087692,-2.009524541790597e-05,-5.4794629249954596e-05,0.00014637387357652187
1,39,-8.748221443966031e-05,-1.4145132354315137e-07,-1.0756817573565058e-05,-5.032308763475157e-05
1,40,-8.034876373130828e-06,-7.2468847065465525e-06,-3.926869248971343e-05,0.00013020640471950173
1,41,-0.0001595214125700295,1.8731604711774708e-07,-2.7394886274123564e-05,0.00010238295362796634
1,42,-1.5116031136130914e-05,1.425048139935825e-06,1.2481230442062952e-05,-0.0001331911189481616
1,43,-1.064751540980069e-05,-2.9014051960984943e-06,-1.915503708005417e-05,0.00013726895849686116
1,44,-4.3981930502923205e-05,-1.3202338777773548e-06,-7.5704419941757806e-06,-6.384083098964766e-05
1,45,7.751221460239321e-07,-3.938546797144227e-06,-1.4161686522129457e-05,0.00011932202323805541
1,46,4.735483162221499e-05,-1.106220679503167e-05,-6.643900269409642e-05,0.00039261230267584324
1,47,-1.5227530639094766e-05,1.525561856396962e-06,1.3351314919418655e-05,-0.000130040236399509
1,48,1.2221094948472455e-05,-2.6651759981177747e-06,-8.242385774792638e-06,0.00010265714809065685
2,49,-0.00014515290968120098,2.1592152279481525e-06,-4.160080061410554e-05,0.00011250794341322035
2,50,-0.00016904734366107732,2.360813368795789e-06,-3.3399246603948995e-05,8.77711281646043e-05
2,51,-0.00012995862925890833,-2.3760289877827745e-06,-3.1404011679114774e-05,5.138286724104546e-05
2,52,-5.564679668168537e-05,2.9312370770639973e-06,1.7372029105899855e-05,-0.0001347953948425129
2,53,-1.2627915566554293e-05,-1.9679432625707705e-06,-9.886322914098855e-06,9.878799028228968e-05
2,54,0.0002027808950515464,-1.209967740578577e-05,-2.9389186238404363e-05,7.766428461764008e-05
2,55,-9.153346036328003e-05,3.749785491891089e-06,2.6400039132568054e-05,-0.00019662707927636802
2,56,-1.8839551557903178e-05,-6.557136202900438e-06,-4.9680333177093416e-05,0.00011568069749046117
2,57,-4.5128032070351765e-05,3.1580377708451124e-06,2.0922663679812104e-05,-0.00014556232781615108
2,58,1.7889580703922547e-05,-8.908965355658438e-06,-5.037841765442863e-05,0.00014551854110322893
2,59,-3.948565790778957e-06,1.2697021247731755e-06,1.3683139513887e-05,-0.00017116632079705596
2,60,-8.657784746901598e-06,-4.656960754800821e-06,-3.614840534282848e-05,6.76405179547146e-05
2,61,-2.0755767764057964e-05,-6.9368488766485825e-06,-2.3370364942820743e-05,0.00010780245065689087
2,62,-2.8582109734998085e-05,-3.5171631225239253e-06,-2.8930891858180985e-05,3.9036280213622376e-05
2,63,-0.00014397008635569364,3.905140602000756e-06,7.630736035935115e-06,-0.00011613898095674813
2,64,-5.764252637163736e-05,-2.304232793903793e-06,-3.679704968817532e-05,6.65665720589459e-05
2,65,-0.0001067609919118695,3.366152441230952e-06,1.4510254914057441e-05,-0.0001298963907174766
2,66,-4.930039722239599e-06,-6.961956387385726e-06,-3.830398782156408e-05,6.638758350163698e-05
2,67,-2.2460415493696928e-05,-5.334843081072904e-06,-4.5708948164246976e-05,0.00011957388778682798
2,68,-1.4870638551656157e-05,-1.1900134268216789e-05,-5.9610698372125626e-05,0.0003099722962360829
2,69,2.8513646611827426e-05,-4.328061550040729e-06,-2.4031045541050844e-05,3.278501390013844e-05
2,70,-4.17614501202479e-05,-7.287245807674481e-06,-3.796730743488297e-05,0.000302319647744298
2,71,-6.436814146582037e-05,-2.4899358663788007e-07,-4.0014212572714314e-05,6.286540883593261e-05
2,72,1.3122761629347224e-05,-5.834730018250411e-06,-3.797711542574689e-05,6.732944893883541e-05
2,73,3.5287932405481115e-05,-1.1417822861403693e-05,-7.370446110144258e-05,0.0003452934033703059
2,74,-0.00013153610052540898,-3.36051556359962e-07,-9.100191164179705e-06,7.784942135913298e-05
2,75,2.5548864869051613e-05,-6.867586762382416e-06,-4.406956577440724e-05,9.870127541944385e-05
2,76,-4.679748963098973e-05,-7.890153938205913e-06,-5.6660963309695944e-05,0.0002888487360905856
2,77,-2.9229078791104257e-05,-3.4611878163559595e-06,-3.491746247163974e-05,8.248562517110258e-05
