Epoch,Batch,lstm_1,lstm_2,dense_1,dense_2
1,1,-0.013801461085677147,-0.012788796797394753,-0.010608368553221226,-0.005995538085699081
1,2,-0.0005244656349532306,-0.001488312380388379,-0.004190394654870033,-0.04928593710064888
1,3,-0.00039350107545033097,-0.002130660694092512,-0.003929521888494492,-0.035908814519643784
1,4,-0.000197797708096914,-0.0005903824348933995,-0.003386142896488309,-0.05306103453040123
1,5,-0.00026290470850653946,-0.00033998049912042916,-0.0023851795122027397,-0.04798784852027893
1,6,-0.00015517065185122192,-0.0004871409328188747,-0.003298824653029442,-0.051111768931150436
1,7,-0.0002324777888134122,-0.0003710278251674026,-0.002368503250181675,-0.04380590468645096
1,8,-0.00014947965973988175,-0.0005014040507376194,-0.003161441069096327,-0.045390740036964417
1,9,-0.00016583809338044375,-0.0003364481672178954,-0.0021591107361018658,-0.042735788971185684
1,10,-0.00017557632236275822,-0.0004586659779306501,-0.0031042227055877447,-0.04345215484499931
1,11,-0.00018246847321279347,-0.00046261309762485325,-0.002681399928405881,-0.03832589462399483
1,12,-0.00023881987726781517,-0.0005036189104430377,-0.0030494043603539467,-0.04272140562534332
1,13,-0.0005645306664519012,-0.00041704316390678287,-0.0025661722756922245,-0.03384152427315712
1,14,-0.0002817499334923923,-0.0004774652770720422,-0.002969832392409444,-0.03936387971043587
1,15,-0.0004126333515159786,-0.00034922058694064617,-0.002312558237463236,-0.034940652549266815
1,16,-0.00032445084070786834,-0.00045049533946439624,-0.002942415652796626,-0.03742233291268349
1,17,-0.0011869771406054497,-0.0004575725761242211,-0.002774254884570837,-0.026903267949819565
1,18,-0.00031909000244922936,-0.0004251452337484807,-0.0028446645010262728,-0.039537206292152405
1,19,-0.0003567012317944318,-0.0003916712594218552,-0.0024602538906037807,-0.031677499413490295
1,20,-0.0003465057525318116,-0.0004163020639680326,-0.0026266141794621944,-0.03399442881345749
1,21,-0.00041436715400777757,-0.00047243767767213285,-0.0024127827491611242,-0.0312005914747715
1,22,-0.0005434044287540019,-0.0005050005856901407,-0.002607551869004965,-0.034619491547346115
1,23,-0.0013935375027358532,-0.0005033162888139486,-0.002752339467406273,-0.0260761771351099
1,24,-0.000509772333316505,-0.00046342090354301035,-0.002744316589087248,-0.03833281993865967
1,25,-0.0008246111101470888,-0.00044084846740588546,-0.0025655182544142008,-0.027650952339172363
1,26,-0.0004073635791428387,-0.0003663072129711509,-0.00235974439419806,-0.03247256577014923
1,27,-0.0006272353930398822,-0.0003686867712531239,-0.002192482817918062,-0.02894844301044941
