Epoch,Batch,lstm_1,lstm_2,dense_1,dense_2
1,24,-0.03923304006457329,-0.0046461946330964565,-0.001897212816402316,-0.01112761814147234
1,25,-0.021824445575475693,-0.0014641537563875318,-0.0022020963951945305,-0.011662065051496029
1,26,-0.10929442197084427,-0.0042762765660882,-0.0020606769248843193,-0.01643018238246441
1,27,-0.008022448979318142,-0.0010509591083973646,-0.0019419548334553838,-0.012385295704007149
1,28,-0.006827897392213345,-0.0012703227112069726,-0.0011854214826598763,-0.010115491226315498
1,29,-0.01787479594349861,-0.0016081627691164613,-0.001257584081031382,-0.014786425977945328
1,30,-0.028194915503263474,-0.0033115085680037737,-0.0020306254737079144,-0.012305676937103271
1,31,-0.031333159655332565,-0.0032666076440364122,-0.0017179313581436872,-0.015752429142594337
1,32,-0.01629623956978321,-0.00211132038384676,-0.0013857779558748007,-0.00966586358845234
1,33,-0.08455480635166168,-0.001771120703779161,-0.002581450855359435,-0.009618736803531647
1,34,-0.13377386331558228,-0.004444084130227566,-0.0024005586747080088,-0.01568562723696232
1,35,-0.04920470342040062,-0.0017403826350346208,-0.0027407235465943813,-0.00960871297866106
1,36,-0.0637773647904396,-0.002454715548083186,-0.0025737732648849487,-0.010869644582271576
1,37,-0.019759034737944603,-0.00246238405816257,-0.0021033301018178463,-0.009440410882234573
1,38,-0.07809827476739883,-0.002969481283798814,-0.002126178704202175,-0.019498441368341446
1,39,-0.02549021504819393,-0.0035945314448326826,-0.0016008219681680202,-0.012533902190625668
1,40,-0.01714066043496132,-0.0020857341587543488,-0.0024752956815063953,-0.011973722837865353
1,41,-0.04536549001932144,-0.0027022676076740026,-0.0021879763808101416,-0.019830498844385147
1,42,-0.00738795381039381,-0.0012886426411569118,-0.0013536616461351514,-0.013636011630296707
1,43,-0.01048504188656807,-0.002119142562150955,-0.001419699052348733,-0.010290090925991535
1,44,-0.01363142766058445,-0.0018428689800202847,-0.0018847760511562228,-0.009603002108633518
1,45,-0.009719778783619404,-0.001318993279710412,-0.0010632346384227276,-0.010282790288329124
1,46,-0.016437914222478867,-0.0017069505993276834,-0.0011170943034812808,-0.009828091599047184
1,47,-0.009471328929066658,-0.001953838160261512,-0.0013990247389301658,-0.012638401240110397
1,48,-0.010197288356721401,-0.001303125754930079,-0.0009199430933222175,-0.010378772392868996
2,49,-0.05698865279555321,-0.0026403828524053097,-0.0013837800361216068,-0.010966585017740726
2,50,-0.07173910737037659,-0.002547658048570156,-0.0021818310488015413,-0.01533681433647871
2,51,-0.060898590832948685,-0.0035377810709178448,-0.0015283625107258558,-0.015057142823934555
2,52,-0.012874149717390537,-0.0016194351483136415,-0.0015711708692833781,-0.013348406180739403
2,53,-0.011300054378807545,-0.0016006175428628922,-0.0012428000336512923,-0.010257335379719734
2,54,-0.062357425689697266,-0.0034443028271198273,-0.002080327132716775,-0.012152564711868763
2,55,-0.03479597344994545,-0.0028785914182662964,-0.0018464633030816913,-0.013499782420694828
2,56,-0.019752249121665955,-0.0024488053750246763,-0.0017680287128314376,-0.010071508586406708
2,57,-0.015547055751085281,-0.002045105444267392,-0.0017081517726182938,-0.013600604608654976
2,58,-0.01613648422062397,-0.001966572366654873,-0.0019328901544213295,-0.009435185231268406
2,59,-0.017043741419911385,-0.00227526412345469,-0.0020359850022941828,-0.009849044494330883
2,60,-0.01920446939766407,-0.0022543519735336304,-0.0017124332953244448,-0.010191850364208221
2,61,-0.014795343391597271,-0.0018343841657042503,-0.0016179794911295176,-0.01788436807692051
2,62,-0.014486351050436497,-0.0017594281816855073,-0.0019237739033997059,-0.016421211883425713
2,63,-0.04023852199316025,-0.003554833121597767,-0.0016744157765060663,-0.015451083891093731
2,64,-0.018487734720110893,-0.0017881511012092233,-0.0016104282112792134,-0.015152142383158207
2,65,-0.028311487287282944,-0.0028860524762421846,-0.0016009907703846693,-0.014790228568017483
2,66,-0.021468687802553177,-0.0016308689955621958,-0.0018821037374436855,-0.01521716546267271
2,67,-0.01587674953043461,-0.0019101721700280905,-0.0016828796360641718,-0.013056518509984016
2,68,-0.027082255110144615,-0.003065230557695031,-0.0016227582236751914,-0.010537145659327507
2,69,-0.020948311313986778,-0.0022300106938928366,-0.0025519714690744877,-0.012875804677605629
2,70,-0.03075069561600685,-0.002316113328561187,-0.0019186381250619888,-0.018314948305487633
2,71,-0.027140259742736816,-0.0029386000242084265,-0.0020214389078319073,-0.01795819401741028
2,72,-0.01586783677339554,-0.00270059728063643,-0.0022147507406771183,-0.010136431083083153
2,73,-0.024562742561101913,-0.003571677254512906,-0.0017894809134304523,-0.010700032114982605
2,74,-0.04122934490442276,-0.007433043327182531,-0.0016909884288907051,-0.009890701621770859
2,75,-0.0209472868591547,-0.0022362503223121166,-0.001660965383052826,-0.01148555614054203
2,76,-0.030424313619732857,-0.002896805526688695,-0.0019438163144513965,-0.01433079969137907
2,77,-0.015447736717760563,-0.0017385832034051418,-0.0016555952606722713,-0.01509670540690422
2,78,-0.050176531076431274,-0.004659690894186497,-0.0014605638571083546,-0.010053090751171112
2,79,-0.018587177619338036,-0.0031128106638789177,-0.0015594657743349671,-0.013327959924936295
2,80,-0.03062208741903305,-0.0030139086302369833,-0.0019400459714233875,-0.01337298471480608
2,81,-0.015030749142169952,-0.002447315724566579,-0.0015640727942809463,-0.011197365820407867
2,82,-0.015076860785484314,-0.002351911971345544,-0.0016101549845188856,-0.015777334570884705
2,83,-0.019928524270653725,-0.0020743103232234716,-0.001867983490228653,-0.013592401519417763
2,84,-0.01700383983552456,-0.0019492581486701965,-0.0017140698619186878,-0.016860606148838997
2,85,-0.020609166473150253,-0.0021752931643277407,-0.0014927024021744728,-0.01645464263856411
2,86,-0.02026464231312275,-0.0031986990943551064,-0.0018829090986400843,-0.016128594055771828
2,87,-0.018709665164351463,-0.00248553603887558,-0.0018196930177509785,-0.015243572182953358
2,88,-0.01911410689353943,-0.002127444837242365,-0.0018848426407203078,-0.02547670714557171
2,89,-0.014936045743525028,-0.001790642854757607,-0.0018569602398201823,-0.01573106087744236
2,90,-0.019310541450977325,-0.0023618745617568493,-0.0015527659561485052,-0.015831492841243744
2,91,-0.03991498053073883,-0.005784986540675163,-0.0025603175163269043,-0.01782701164484024
2,92,-0.01721944287419319,-0.001537631032988429,-0.0016659493558108807,-0.018369456753134727
2,93,-0.032184500247240067,-0.005065863486379385,-0.0019531669095158577,-0.016141267493367195
2,94,-0.018753891810774803,-0.0015703467652201653,-0.0014812113950029016,-0.012455086223781109
2,95,-0.027275539934635162,-0.002898148261010647,-0.002467603189870715,-0.014823154546320438
2,96,-0.014389854855835438,-0.0019897567108273506,-0.0025680481921881437,-0.018176482990384102
2,97,-0.020327553153038025,-0.003245031926780939,-0.0017365762032568455,-0.016155922785401344
3,98,-0.029354507103562355,-0.0038625807501375675,-0.002631792100146413,-0.011746338568627834
3,99,-0.02640461176633835,-0.0017755510052666068,-0.0015815113438293338,-0.016531923785805702
3,100,-0.02133036218583584,-0.006429085973650217,-0.0018161812331527472,-0.013444235548377037
3,101,-0.02007335238158703,-0.001862928969785571,-0.0015883637825027108,-0.015491785481572151
3,102,-0.021353408694267273,-0.002465693047270179,-0.001657091430388391,-0.016459660604596138
3,103,-0.019105656072497368,-0.0029285121709108353,-0.001705802627839148,-0.01995023339986801
3,104,-0.013797150924801826,-0.0029694719705730677,-0.0016252923524007201,-0.016859600320458412
3,105,-0.02432551048696041,-0.0028088076505810022,-0.0020776516757905483,-0.013159731402993202
3,106,-0.024500280618667603,-0.003095119260251522,-0.001616805442608893,-0.014074870385229588
3,107,-0.020308472216129303,-0.001706538489088416,-0.0019525637617334723,-0.014271044172346592
3,108,-0.020215695723891258,-0.0031972797587513924,-0.001673526712693274,-0.01563386805355549
3,109,-0.03269834816455841,-0.0029998335521668196,-0.0016767402412369847,-0.019032467156648636
3,110,-0.022646058350801468,-0.0025048875249922276,-0.0021375776268541813,-0.013488760218024254
3,111,-0.022688375785946846,-0.00212312419898808,-0.002000422216951847,-0.017091035842895508
3,112,-0.017087621614336967,-0.002008312614634633,-0.002465896075591445,-0.014364467933773994
3,113,-0.01710156537592411,-0.002618619939312339,-0.002029826631769538,-0.014592076651751995
3,114,-0.015166045166552067,-0.002047390677034855,-0.00153482670430094,-0.015348678454756737
3,115,-0.02076471969485283,-0.0024821138940751553,-0.0015878041740506887,-0.013456187210977077
3,116,-0.01912696659564972,-0.0029857351910322905,-0.001560549484565854,-0.013462894596159458
3,117,-0.024018263444304466,-0.0016018303576856852,-0.0015962406760081649,-0.013006305322051048
3,118,-0.01713820919394493,-0.002185593592002988,-0.001713070087134838,-0.011973544023931026
3,119,-0.016626788303256035,-0.0026008342392742634,-0.0018534918781369925,-0.015475288033485413
3,120,-0.027909711003303528,-0.003924195654690266,-0.0027343700639903545,-0.013710989616811275
3,121,-0.019872916862368584,-0.002185523509979248,-0.0013912105932831764,-0.012910952791571617
3,122,-0.018037354573607445,-0.0019346236949786544,-0.002095148665830493,-0.018882635980844498
3,123,-0.04865684360265732,-0.004517923574894667,-0.0024129098746925592,-0.01417391188442707
3,124,-0.014400097541511059,-0.0021312639582902193,-0.0015104112681001425,-0.015141197480261326
3,125,-0.019619788974523544,-0.002003780100494623,-0.0014613009989261627,-0.013354750350117683
3,126,-0.019209066405892372,-0.0017009259900078177,-0.001833780319429934,-0.017263446003198624
3,127,-0.017402926459908485,-0.002383613493293524,-0.0014686944196000695,-0.011388460174202919
3,128,-0.020395565778017044,-0.002731810323894024,-0.0018061472801491618,-0.01217724196612835
3,129,-0.021751638501882553,-0.0018143426859751344,-0.0020776106975972652,-0.013455064035952091
3,130,-0.022832760587334633,-0.0023378387559205294,-0.002079613273963332,-0.013240913860499859
3,131,-0.01514104288071394,-0.001655311556532979,-0.0011730348924174905,-0.015806255862116814
3,132,-0.028961820527911186,-0.002444692887365818,-0.0017858741339296103,-0.012659573927521706
3,133,-0.016832919791340828,-0.0016200552927330136,-0.0016812790418043733,-0.01555828657001257
3,134,-0.023401964455842972,-0.002528649289160967,-0.002035409677773714,-0.011947328224778175
3,135,-0.014934685081243515,-0.0018034592503681779,-0.0016084015369415283,-0.015374264679849148
3,136,-0.014778396114706993,-0.001606301055289805,-0.0012995825381949544,-0.013925539329648018
3,137,-0.022255543619394302,-0.0018923840252682567,-0.0015674193855375051,-0.016816874966025352
3,138,-0.01775791123509407,-0.0023937872610986233,-0.0015284499386325479,-0.0162159726023674
3,139,-0.018076634034514427,-0.0016247032908722758,-0.0016464971704408526,-0.013060239143669605
3,140,-0.015871677547693253,-0.0020604932215064764,-0.001716875471174717,-0.01610114611685276
3,141,-0.02538302168250084,-0.0037101914640516043,-0.002286842791363597,-0.02000569738447666
3,142,-0.019285723567008972,-0.0016605512937530875,-0.0016053192084655166,-0.01765747368335724
