Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.28957855701446533,0.013041991740465164,0.07015674561262131,0.027300462126731873,0.9971610903739929,0.09971612691879272,0.1741660088300705,0.0,0.0,0.0,0.5088227391242981,0.05088227614760399
1,0.19874124228954315,0.0007160744280554354,0.17823810875415802,0.0003590378910303116,0.6617447137832642,0.0661744773387909,0.17144109308719635,0.0,0.0,0.0,0.5188321471214294,0.05188320577144623
2,0.18360400199890137,0.007388684898614883,0.4687873125076294,0.003745594061911106,0.5825446844100952,0.058254484087228775,0.15658557415008545,0.0,0.0,0.0,0.4124181866645813,0.04124181717634201
3,0.17487183213233948,0.01908436231315136,0.5085535645484924,0.009819374419748783,0.5461362600326538,0.054613642394542694,0.1515617072582245,0.00963930319994688,0.837536096572876,0.004856407642364502,0.3961378335952759,0.03961378335952759
4,0.1690874695777893,0.041469868272542953,0.5592815279960632,0.021723313257098198,0.523486316204071,0.05234861746430397,0.15751811861991882,0.0197206512093544,0.8688253164291382,0.010001410730183125,0.46388566493988037,0.04638856276869774
5,0.16514423489570618,0.05582403764128685,0.6012696623802185,0.029425133019685745,0.5082463026046753,0.050824642181396484,0.1500883251428604,0.04873213544487953,0.6222950220108032,0.025387858971953392,0.41586554050445557,0.04158655181527138
6,0.1617489904165268,0.07581046223640442,0.6333047151565552,0.040565915405750275,0.49634620547294617,0.04963460937142372,0.1431123912334442,0.09351685643196106,0.6984760165214539,0.05025918409228325,0.3710050880908966,0.037100519984960556
7,0.15874150395393372,0.08913005888462067,0.6543062329292297,0.04801177605986595,0.4835989475250244,0.04835991561412811,0.1457352489233017,0.09168455004692078,0.7173553109169006,0.049166467040777206,0.4139047861099243,0.04139047488570213
8,0.15595221519470215,0.10488860309123993,0.6632026433944702,0.05717243254184723,0.4693118929862976,0.04693121463060379,0.1535547822713852,0.11337294429540634,0.6756365895271301,0.062058523297309875,0.4998050034046173,0.04998050630092621
9,0.15325641632080078,0.11802875250577927,0.6587810516357422,0.06499431282281876,0.4561220109462738,0.04561220109462738,0.14017163217067719,0.10937792807817459,0.7033515572547913,0.059454143047332764,0.3677041828632355,0.03677041828632355
10,0.15116725862026215,0.1289692372083664,0.6672284603118896,0.07162930816411972,0.4465181231498718,0.0446518212556839,0.13488921523094177,0.10855486989021301,0.7888009548187256,0.058450959622859955,0.3337326943874359,0.03337327763438225
11,0.14878925681114197,0.14326854050159454,0.6795222759246826,0.08029848337173462,0.4352465569972992,0.043524641543626785,0.1409335732460022,0.14386199414730072,0.7151833772659302,0.08019807189702988,0.40516701340675354,0.04051670432090759
12,0.14719896018505096,0.1528867483139038,0.6769561767578125,0.08643290400505066,0.427254855632782,0.042725492268800735,0.135702982544899,0.14038170874118805,0.7307695150375366,0.07779299467802048,0.36484405398368835,0.036484409123659134
13,0.1454055905342102,0.15972056984901428,0.6881682872772217,0.0906696766614914,0.41820964217185974,0.0418209582567215,0.13270436227321625,0.15327204763889313,0.739919126033783,0.085691899061203,0.34109410643577576,0.034109409898519516
14,0.14409767091274261,0.1719394326210022,0.6939491033554077,0.09847919642925262,0.4145980477333069,0.04145980253815651,0.1277972012758255,0.17390285432338715,0.7154814004898071,0.09929143637418747,0.29890066385269165,0.029890067875385284
15,0.14266341924667358,0.17734216153621674,0.6953321099281311,0.10183695703744888,0.40856727957725525,0.04085673391819,0.12801797688007355,0.1722722202539444,0.7407867908477783,0.09771311283111572,0.3086621165275574,0.030866216868162155
16,0.1407773792743683,0.18552185595035553,0.6936308145523071,0.10731713473796844,0.39910271763801575,0.039910271763801575,0.13756205141544342,0.1798657774925232,0.7250882983207703,0.10290884971618652,0.3999631702899933,0.03999631479382515
17,0.14433613419532776,0.19043147563934326,0.6806182861328125,0.11108024418354034,0.43264445662498474,0.04326443746685982,0.14171530306339264,0.15491724014282227,0.7734059691429138,0.08632425218820572,0.43878087401390076,0.04387808218598366
