Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.2409175640850608,0.02438299171626568,0.0844087153673172,0.031617455184459686,1.0069224834442139,0.05034613236784935,0.1415304092240175,0.0,0.0,0.0,0.43648597598075867,0.021824300289154053
1,0.16823847688165766,0.004602115601301193,0.20305149257183075,0.0023474302142858505,0.7269930839538574,0.03634965419769287,0.14303879125948227,0.0,0.0,0.0,0.5235276222229004,0.02617637626826763
2,0.15634690387965683,0.00785330031067133,0.4024023711681366,0.00399869866669178,0.6421180963516235,0.032105907797813416,0.13727216877412196,0.0,0.0,0.0,0.5083626508712769,0.025418130680918694
3,0.14934281420020465,0.02531355433166027,0.5184198617935181,0.013043660670518875,0.6049222350120544,0.030246112495660782,0.13821751982832695,0.03443557769060135,0.6361306309700012,0.01772361993789673,0.5603902339935303,0.028019506484270096
4,0.1450921215039097,0.04461829736828804,0.5592088103294373,0.02338896505534649,0.5865379571914673,0.029326898977160454,0.13674250050156714,0.036891642957925797,0.7816740274429321,0.01895911805331707,0.5859851241111755,0.029299259185791016
5,0.1416510624299519,0.06345345079898834,0.6181501150131226,0.03366253525018692,0.570564329624176,0.02852822095155716,0.1274210358780574,0.07031096518039703,0.6845659613609314,0.03713912144303322,0.44060802459716797,0.02203040011227131
6,0.13862811451400803,0.07917772978544235,0.6243826150894165,0.04249964654445648,0.5512832403182983,0.027564162388443947,0.12252418984330679,0.07793571799993515,0.7428285479545593,0.041231874376535416,0.3830595910549164,0.01915297843515873
7,0.13606433171069732,0.09094473719596863,0.6352841854095459,0.049294162541627884,0.5405540466308594,0.02702770009636879,0.1210841488613522,0.0905398428440094,0.7405885457992554,0.04835032299160957,0.3817583918571472,0.019087916240096092
8,0.1343081708635225,0.10726366192102432,0.6430955529212952,0.05881587043404579,0.5306582450866699,0.026532907038927078,0.12551688684834786,0.12973006069660187,0.6689674854278564,0.07206282019615173,0.48142653703689575,0.024071328341960907
9,0.13251690890806403,0.12121424823999405,0.6555597186088562,0.06705816835165024,0.5241702198982239,0.026208508759737015,0.12162770439938801,0.14165879786014557,0.6740273833274841,0.07934123277664185,0.4284325838088989,0.021421626210212708
10,0.13115198052133378,0.129126638174057,0.6562960743904114,0.0718320980668068,0.5198118090629578,0.02599058300256729,0.11976300333595594,0.1492917388677597,0.7135698199272156,0.08364663273096085,0.40675875544548035,0.020337939262390137
11,0.1293578704805513,0.13958267867565155,0.6574937701225281,0.07839236408472061,0.5068097710609436,0.02534049190580845,0.12833982573908873,0.1515783816576004,0.7108080387115479,0.0850125253200531,0.5944581627845764,0.029722904786467552
12,0.1279292418056551,0.15422329306602478,0.6733160614967346,0.0874052494764328,0.4953559637069702,0.024767793715000153,0.11524737501862484,0.15120425820350647,0.7379987239837646,0.0846533477306366,0.356723815202713,0.0178361888974905
13,0.12655062594480215,0.1612500697374344,0.6751248240470886,0.09175076335668564,0.4829131066799164,0.024145647883415222,0.11312923806733938,0.17293980717658997,0.7263152003288269,0.09827113896608353,0.3349170982837677,0.016745852306485176
14,0.12525209404072657,0.17008882761001587,0.6731995344161987,0.09765205532312393,0.47162455320358276,0.023581229150295258,0.11806381260322274,0.1777743548154831,0.6980036497116089,0.10215427726507187,0.43241599202156067,0.021620800718665123
15,0.124256452711315,0.17627368867397308,0.684345543384552,0.10153335332870483,0.46805208921432495,0.023402605205774307,0.11111948957993027,0.16551361978054047,0.7304925918579102,0.09365527331829071,0.3134150803089142,0.015670757740736008
16,0.12312792500231437,0.18323422968387604,0.6942484974861145,0.10588884353637695,0.458350270986557,0.022917509078979492,0.11150428718843904,0.18275585770606995,0.7438325881958008,0.10430020838975906,0.3306519687175751,0.016532599925994873
17,0.12238004472310837,0.19025856256484985,0.6902896761894226,0.11061722785234451,0.45393675565719604,0.0226968415081501,0.10944390018296436,0.1968693882226944,0.7242025136947632,0.11417898535728455,0.29509255290031433,0.014754626899957657
18,0.12121199513202911,0.19921475648880005,0.698240339756012,0.11640305817127228,0.4470680356025696,0.0223534032702446,0.11287425492572854,0.19532150030136108,0.7404506206512451,0.11269276589155197,0.3762373924255371,0.018811866641044617
19,0.12058094060322813,0.20336224138736725,0.6995875835418701,0.11925052851438522,0.4431980848312378,0.022159907966852188,0.10892052946822871,0.20486874878406525,0.7585546970367432,0.11880797892808914,0.2988760471343994,0.014943801797926426
20,0.11947299804365027,0.21122623980045319,0.7060593366622925,0.12437774986028671,0.43472957611083984,0.02173648029565811,0.11457853321555977,0.2087458074092865,0.6986052989959717,0.12320587784051895,0.4137502610683441,0.020687513053417206
21,0.11916899125306789,0.2168591171503067,0.7014516592025757,0.1285678744316101,0.4374985098838806,0.02187492698431015,0.10828008454813397,0.23030096292495728,0.7296230792999268,0.13758616149425507,0.3094555139541626,0.01547277346253395
22,0.11823809014720028,0.22266004979610443,0.7096360921859741,0.13224010169506073,0.43121373653411865,0.021560680121183395,0.11027846365330049,0.21368899941444397,0.754289448261261,0.12505598366260529,0.33401918411254883,0.01670096255838871
23,0.11754045790987072,0.22963613271713257,0.702740490436554,0.13766229152679443,0.4267420172691345,0.021337101235985756,0.10691141614143881,0.23401618003845215,0.718285858631134,0.14022785425186157,0.29377952218055725,0.014688974246382713
24,0.11709200461519871,0.2358258068561554,0.7111830711364746,0.14162451028823853,0.428684264421463,0.02143421210348606,0.10717134346190155,0.21973873674869537,0.7435838580131531,0.12920698523521423,0.31170985102653503,0.015585496090352535
25,0.11631355361023545,0.2387094497680664,0.7133712768554688,0.14381402730941772,0.42229461669921875,0.021114731207489967,0.11483733309191946,0.25339847803115845,0.7082315683364868,0.15499049425125122,0.4624073803424835,0.023120367899537086
