Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.217937276583893,0.014945226721465588,0.10508272051811218,0.02370077185332775,0.9675459265708923,0.048377297818660736,0.14659991145618562,0.0,0.0,0.0,0.5633382201194763,0.028166906908154488
1,0.16134179263391335,0.005216510500758886,0.2944144904613495,0.002655136864632368,0.6947498321533203,0.034737490117549896,0.14057415811908042,0.005197721533477306,0.6562228798866272,0.0026117293164134026,0.545572817325592,0.02727864496409893
2,0.15189774888091198,0.030405793339014053,0.5492576956748962,0.01634787954390049,0.6340669393539429,0.03170334920287132,0.1308023783778228,0.024008696898818016,0.602977991104126,0.012321350164711475,0.43145549297332764,0.0215727761387825
3,0.15003752425704758,0.045454371720552444,0.570823609828949,0.024002887308597565,0.6580042839050293,0.032900214195251465,0.13810725249102268,0.024409228935837746,0.6444677710533142,0.012572438456118107,0.6063053011894226,0.03031526319682598
4,0.1424946519942989,0.06058366224169731,0.6404938697814941,0.031986068934202194,0.5927988290786743,0.02963993512094021,0.12806470292370495,0.0562821663916111,0.7182640433311462,0.029362499713897705,0.4720655381679535,0.023603277280926704
5,0.13898441678819906,0.08483320474624634,0.6405841112136841,0.045672301203012466,0.5761386156082153,0.028806934133172035,0.12716554764985863,0.0868425965309143,0.6773385405540466,0.04650741443037987,0.48969781398773193,0.024484895169734955
6,0.13684850503532126,0.10053208470344543,0.6340630054473877,0.054934605956077576,0.5677557587623596,0.02838778682053089,0.12610510160151184,0.07040632516145706,0.7111167907714844,0.03714781627058983,0.4003519117832184,0.0200175940990448
7,0.1344967978331799,0.11538563668727875,0.6524843573570251,0.0636523887515068,0.5532402992248535,0.027662014588713646,0.1293584037536352,0.14403146505355835,0.6374914646148682,0.08148449659347534,0.5551806092262268,0.02775903418660164
8,0.1335873428518575,0.13001243770122528,0.660371720790863,0.07260920852422714,0.5556954741477966,0.027784766629338264,0.1257550463752225,0.15867950022220612,0.6604614853858948,0.09035646170377731,0.5129311680793762,0.025646556168794632
9,0.1311502920456011,0.14110107719898224,0.6680126190185547,0.07933371514081955,0.5404989123344421,0.027024956420063972,0.12284764918964701,0.15207414329051971,0.7117493152618408,0.08540310710668564,0.4918162524700165,0.024590814486145973
10,0.12936510570703671,0.15632440149784088,0.6762143969535828,0.08882254362106323,0.5290560722351074,0.0264528077095747,0.1195130346553553,0.1674167811870575,0.7066474556922913,0.09508322924375534,0.425901859998703,0.02129509113729
11,0.12823819245412676,0.16334190964698792,0.6720617413520813,0.09325865656137466,0.5182514786720276,0.02591257356107235,0.11843477658712678,0.17409394681453705,0.7104344964027405,0.09937390685081482,0.4308789074420929,0.021543944254517555
12,0.12630534865195742,0.17222970724105835,0.6854140758514404,0.09899125248193741,0.5004413723945618,0.025022072717547417,0.11449480176809004,0.1856616586446762,0.6751537919044495,0.10796122252941132,0.3709571063518524,0.01854785531759262
13,0.12540986573239238,0.1806837022304535,0.6848645210266113,0.10430596023797989,0.4981279671192169,0.024906396865844727,0.12163388256619616,0.19135409593582153,0.6951257586479187,0.11128268390893936,0.5101826786994934,0.025509130209684372
14,0.12409446055720341,0.19107642769813538,0.6820307970046997,0.11138959974050522,0.4891882836818695,0.024459412321448326,0.11999971638189275,0.17585642635822296,0.7354621887207031,0.10036826133728027,0.5029454827308655,0.025147272273898125
15,0.12307325973139181,0.19744452834129333,0.6975569128990173,0.1154637560248375,0.48606058955192566,0.02430303394794464,0.11427350792172038,0.20742201805114746,0.6941044330596924,0.12245792895555496,0.39646148681640625,0.019823072478175163
16,0.12174787652484971,0.20405812561511993,0.6967820525169373,0.1199427992105484,0.4761117994785309,0.023805592209100723,0.11439324749657073,0.1962663233280182,0.7710016369819641,0.11298162490129471,0.39734169840812683,0.019867083057761192
