Epochs,maestro_loss,f1_score,precision,recall,dur_error,dur_loss,val_maestro_loss,val_f1_score,val_precision,val_recall,val_dur_error,val_dur_loss
0,0.2926705777645111,0.013683546334505081,0.058880988508462906,0.025690743699669838,1.0221648216247559,0.10221651196479797,0.18629731237888336,0.0,0.0,0.0,0.628003716468811,0.06280037760734558
1,0.2014884501695633,0.00044371705735102296,0.09891024231910706,0.00022347622143570334,0.6732532382011414,0.06732533872127533,0.1869240254163742,0.0,0.0,0.0,0.6530055403709412,0.06530056148767471
2,0.18720893561840057,0.0023550649639219046,0.30483293533325195,0.0011856772471219301,0.602509617805481,0.06025095283985138,0.176017627120018,0.0,0.0,0.0,0.5992743968963623,0.059927452355623245
3,0.17832443118095398,0.012146874330937862,0.48907965421676636,0.0061698127537965775,0.5645277500152588,0.056452762335538864,0.160085529088974,0.0028844140470027924,0.835606038570404,0.0014456198550760746,0.4418588876724243,0.04418589174747467
4,0.1726437509059906,0.026080017909407616,0.5513172745704651,0.013436351902782917,0.5407134294509888,0.0540713295340538,0.17114108800888062,0.029368668794631958,0.7119422554969788,0.01501773577183485,0.6060428619384766,0.06060430034995079
5,0.16789209842681885,0.043767958879470825,0.5931384563446045,0.02283974178135395,0.522468090057373,0.0522468201816082,0.15839700400829315,0.057421717792749405,0.6929215788841248,0.030037833377718925,0.5011350512504578,0.0501135028898716
6,0.16422148048877716,0.061348315328359604,0.6108441352844238,0.032394662499427795,0.508427619934082,0.05084275081753731,0.1525006890296936,0.0829513743519783,0.6329618096351624,0.044516876339912415,0.4558112919330597,0.04558112844824791
7,0.1617443710565567,0.0775134339928627,0.6389822363853455,0.041408538818359375,0.5007389187812805,0.05007389560341835,0.1588342934846878,0.096188023686409,0.6811484098434448,0.05192720890045166,0.5291266441345215,0.05291266366839409
8,0.15853041410446167,0.09291001409292221,0.6496841311454773,0.05022513493895531,0.4834271967411041,0.04834272712469101,0.1427156627178192,0.10752258449792862,0.7096338272094727,0.058329466730356216,0.3929803967475891,0.03929804265499115
9,0.15629339218139648,0.10362182557582855,0.657640814781189,0.056450605392456055,0.47513896226882935,0.04751389101147652,0.14650671184062958,0.10442819446325302,0.7306851744651794,0.05640602484345436,0.43276116251945496,0.043276116251945496
